TABLE_NAME,FIELD_NAME,FIELD_ALIAS,FIELD_DESCRIPTION,FIELD_TYPE,FIELD_LENGTH,DOMAIN_TYPE,CONFIDENTIAL,SENSITIVE,PII,PCI,SYSTEM_NAME,FIELD_DESCRIPTION_AUTHORITY,FIELD_PRECISION,UNITS,ALLOWABLE_MIN_VALUE,ALLOWABLE_MAX_VALUE,USAGE_NOTES
CALIFORNIA STATE HIGHWAYS STATEWIDE TRAVEL AND CRASH RATES,LANE_TYPE,,"Listing showing different highway types based on number of lane, access control, median type.",TEXT,255,ENUMERATED,NA,NA,NA,NA,Transportation System Network (TSN),,,,,,
CALIFORNIA STATE HIGHWAYS STATEWIDE TRAVEL AND CRASH RATES,2023_ROAD_MILES,,Total centerline miles of State Highways reported for each of the lane types for the published year (2023). Centerline miles represent the total length of a given road from a start point to an end point. ,FLOAT,6,UNREPRESENTED,NA,NA,NA,NA,Transportation System Network (TSN),,1,,,,
CALIFORNIA STATE HIGHWAYS STATEWIDE TRAVEL AND CRASH RATES,2023_TRAVEL_MVM,,Total number of vehicle miles that motorists travel on the State Highway System (SHS). The travel data is expressed in million vehicle miles (MVM) of travel and reported for the published year (2023),FLOAT,7,UNREPRESENTED,NA,NA,NA,NA,Transportation System Network (TSN),,1,,,,
CALIFORNIA STATE HIGHWAYS STATEWIDE TRAVEL AND CRASH RATES,2023_TOTAL_CRASH_RATE,,"All crash (fatal, injury and property damage only) combined rate for each of the SHS lane types for the published year (2023). A crash rate is the number of crashes that occur at a given time period divided by travel data per million vehicle miles (MVM) of travel for the same period. ",FLOAT,3,UNREPRESENTED,NA,NA,NA,NA,Transportation System Network (TSN),,2,,,,
CALIFORNIA STATE HIGHWAYS STATEWIDE TRAVEL AND CRASH RATES,2023_FATAL_PLUS_INJURY_RATE,,Fatal and injury crash combined rate for each of the SHS lane types for the published year (2023). A crash rate is the number of crashes that occur at a given time period divided by travel data per million vehicle miles (MVM) of travel for the same period. ,FLOAT,3,UNREPRESENTED,NA,NA,NA,NA,Transportation System Network (TSN),,2,,,,
CALIFORNIA STATE HIGHWAYS STATEWIDE TRAVEL AND CRASH RATES,2023_FATALITY_RATE,,Fatality rates for each of the SHS lane types for the published year (2023). A fatality rate is the number of fatalities that occur at a given time period divided by travel data per 100 million vehicle miles (100 MVM) of travel for the same period. ,FLOAT,3,UNREPRESENTED,NA,NA,NA,NA,Transportation System Network (TSN),,2,,,,
CALIFORNIA STATE HIGHWAYS STATEWIDE TRAVEL AND CRASH RATES,THREE_YEAR_TOTAL_CRASH_RATE,,"All crash (fatal, injury and property damage only) combined rate for each of the SHS lane types for a three year period - two prior years plus the published year (2021, 2022, 2023). A crash rate is the number of crashes that occur at a given time period divided by travel data per million vehicle miles (MVM) of travel for the same period. ",FLOAT,3,UNREPRESENTED,NA,NA,NA,NA,Transportation System Network (TSN),,2,,,,
CALIFORNIA STATE HIGHWAYS STATEWIDE TRAVEL AND CRASH RATES,THREE_YEAR_FATAL_PLUS_INJURY_RATE,,"Fatal and injury crash combined rate for each of the SHS lane types for a three year period - two prior years plus the published year (2021, 2022, 2023). A crash rate is the number of crashes that occur at a given time period divided by travel data per million vehicle miles (MVM) of travel for the same period. ",FLOAT,3,UNREPRESENTED,NA,NA,NA,NA,Transportation System Network (TSN),,2,,,,
CALIFORNIA STATE HIGHWAYS STATEWIDE TRAVEL AND CRASH RATES,THREE_YEAR_FATALITY_RATE,,"Fatality rates for each of the SHS lane types for a three year period - two prior years plus the published year (2021, 2022, 2023). A fatality rate is the number of fatalities that occur at a given time period divided by travel data per 100 million vehicle miles (100 MVM) of travel for the same period. ",FLOAT,3,UNREPRESENTED,NA,NA,NA,NA,Transportation System Network (TSN),,2,,,,
CALIFORNIA STATE HIGHWAYS STATEWIDE TRAVEL AND CRASH RATES,AREA_TYPE,,"Indicates whether the highway characterized by lane type is in the rural or urban area, and inside or outsite the city boundary. The rural and urban area limits are based on population density as determined by US Census Bureau. While the urban/rural area dataset is maintained by US Census Bureau, the California city boundary layer is updated and managed by California State Board of Equalization. ",TEXT,255,ENUMERATED,,,,,Transportation System Network (TSN),,,,,,
CALIFORNIA STATE HIGHWAYS STATEWIDE 5-YEAR FREEWAY TREND,YEAR,,"Calendar year for which the statewide travel data and crash rates are reported - four prior years plus the published year  (2019, 2020, 2021, 2022, 2023).",TEXT,4,UNREPRESENTED,NA,NA,NA,NA,Transportation System Network (TSN),,,,,,
CALIFORNIA STATE HIGHWAYS STATEWIDE 5-YEAR FREEWAY TREND,ROAD_MILES,,"Total centerline miles of State Highways reported for each of the five years as listed in the table (2018, 2019, 2020, 2021, 2023). Centerline miles represent the total length of a given road from a start point to an end point.
",FLOAT,6,UNREPRESENTED,NA,NA,NA,NA,Transportation System Network (TSN),,1,,,,
CALIFORNIA STATE HIGHWAYS STATEWIDE 5-YEAR FREEWAY TREND,TRAVEL_MVM,,"Total number of vehicle miles that motorists travel on the SHS. The travel data is expressed in million vehicle miles (MVM) of travel and reported for the five years as listed in the table (2019, 2020, 2021, 2022, 2023). ",FLOAT,7,UNREPRESENTED,NA,NA,NA,NA,Transportation System Network (TSN),,1,,,,
CALIFORNIA STATE HIGHWAYS STATEWIDE 5-YEAR FREEWAY TREND,TOTAL_CRASHES,,"Total number of crashes (fatal crashes, injury crashes, and property damage only crashes) occurred on the SHS for the five years as listed in the table  (2019, 2020, 2021, 2022, 2023). ",SHORT,,UNREPRESENTED,NA,NA,NA,NA,Transportation System Network (TSN),,,,,,
CALIFORNIA STATE HIGHWAYS STATEWIDE 5-YEAR FREEWAY TREND,PDO_CRASHES,,"Total number of property damage only (PDO) crashes occurred on the SHS for the five years as listed in the table (2019, 2020, 2021, 2022, 2023). ",SHORT,,UNREPRESENTED,NA,NA,NA,NA,Transportation System Network (TSN),,,,,,
CALIFORNIA STATE HIGHWAYS STATEWIDE 5-YEAR FREEWAY TREND,INJURY_CRASHES,,"Total number of injury related crashes occurred on the SHS for the five years as listed in the table  (2019, 2020, 2021, 2022, 2023). ",SHORT,,UNREPRESENTED,NA,NA,NA,NA,Transportation System Network (TSN),,,,,,
CALIFORNIA STATE HIGHWAYS STATEWIDE 5-YEAR FREEWAY TREND,FATAL_CRASHES,,"Total number of fatal crashes occurred on the SHS for the five years as listed in the table  (2019, 2020, 2021, 2022, 2023). ",SHORT,,UNREPRESENTED,NA,NA,NA,NA,Transportation System Network (TSN),,,,,,
CALIFORNIA STATE HIGHWAYS STATEWIDE 5-YEAR FREEWAY TREND,VICTIM_KILLED,,"Total number of victims killed associated with fatal crashes occurred on the SHS for the five years as listed in the table  (2019, 2020, 2021, 2022, 2023). ",SHORT,,UNREPRESENTED,NA,NA,NA,NA,Transportation System Network (TSN),,,,,,
CALIFORNIA STATE HIGHWAYS STATEWIDE 5-YEAR FREEWAY TREND,TOTAL_CRASH_RATE,,"All crash (fatal, injury and property damage only) combined rate for the five years as listed in the table  (2019, 2020, 2021, 2022, 2023). A crash rate is the number of crashes that occur at a given time period divided by travel data per million vehicle miles (MVM) of travel for the same period. ",FLOAT,3,UNREPRESENTED,NA,NA,NA,NA,Transportation System Network (TSN),,2,,,,
CALIFORNIA STATE HIGHWAYS STATEWIDE 5-YEAR FREEWAY TREND,FATAL_PLUS_INJURY_CRASH_RATE,,"Fatal and injury crash combined rate for the five years as listed in the table (2019, 2020, 2021, 2022, 2023). A crash rate is the number of crashes that occur at a given time period divided by travel data per million vehicle miles (MVM) of travel for the same period. ",FLOAT,3,UNREPRESENTED,NA,NA,NA,NA,Transportation System Network (TSN),,2,,,,
CALIFORNIA STATE HIGHWAYS STATEWIDE 5-YEAR FREEWAY TREND,FATALITY_RATE,,"Fatality rates for the five years as listed in the table  (2019, 2020, 2021, 2022, 2023). A fatality rate is the number of fatalities that occur at a given time period divided by travel data per 100 million vehicle miles (100 MVM) of travel for the same period. ",FLOAT,3,UNREPRESENTED,NA,NA,NA,NA,Transportation System Network (TSN),,2,,,,
CALIFORNIA STATE HIGHWAYS STATEWIDE 5-YEAR FREEWAY TREND,RURAL_URBAN,,Urban or rural area that State Highways transverse through by each district. The rural and urban area limits are based on population density as determined by US Census Bureau. The urban and rural boundary dataset is maintained by US Census Bureau. ,TEXT,255,ENUMERATED,,,,,Transportation System Network (TSN),,,,,,
STATEWIDE TRAVEL AND CRASH SUMMARY ,LANE_TYPE,,"Listing showing different highway types based on number of lane, access control, median type.",TEXT,255,ENUMERATED,NA,NA,NA,NA,Transportation System Network (TSN),,,,,,
STATEWIDE TRAVEL AND CRASH SUMMARY ,ROAD_MILES,,Total centerline miles of State Highways reported for each of the lane types for the published year (2023). Centerline miles represent the total length of a given road from a start point to an end point. ,FLOAT,6,UNREPRESENTED,NA,NA,NA,NA,Transportation System Network (TSN),,1,,,,
STATEWIDE TRAVEL AND CRASH SUMMARY ,TRAVEL_MVM,,Total number of vehicle miles that motorists travel on the SHS. The travel data is expressed in million vehicle miles (MVM) of travel and reported for the published year (2023). ,FLOAT,7,UNREPRESENTED,NA,NA,NA,NA,Transportation System Network (TSN),,1,,,,
STATEWIDE TRAVEL AND CRASH SUMMARY ,TOTAL_CRASHES,,"Total number of crashes (fatal crashes, injury crashes, and property damage only crashes) occurred on the SHS for the published year (2023). ",SHORT,,UNREPRESENTED,NA,NA,NA,NA,Transportation System Network (TSN),,,,,,
STATEWIDE TRAVEL AND CRASH SUMMARY ,PDO_CRASHES,,Total number of property damage only (PDO) crashes occurred on the SHS for the published year (2023).,SHORT,,UNREPRESENTED,NA,NA,NA,NA,Transportation System Network (TSN),,,,,,
STATEWIDE TRAVEL AND CRASH SUMMARY ,INJURY_CRASHES,,Total number of injury related crashes occurred on the SHS for the published year (2023). ,SHORT,,UNREPRESENTED,NA,NA,NA,NA,Transportation System Network (TSN),,,,,,
STATEWIDE TRAVEL AND CRASH SUMMARY ,FATAL_CRASHES,,Total number of fatal crashes occurred on the SHS for the published year (2023). ,SHORT,,UNREPRESENTED,NA,NA,NA,NA,Transportation System Network (TSN),,,,,,
STATEWIDE TRAVEL AND CRASH SUMMARY ,VICTIM_KILLED,,Total number of victim killed associated with fatal crashes occurred on the SHS for the published year (2023). ,SHORT,,UNREPRESENTED,NA,NA,NA,NA,Transportation System Network (TSN),,,,,,
STATEWIDE TRAVEL AND CRASH SUMMARY ,VICTIM_INJURED,,Total number of victim injured associated with crashes occurred on the SHS for the published year (2023). ,SHORT,,UNREPRESENTED,NA,NA,NA,NA,Transportation System Network (TSN),,,,,,
STATEWIDE TRAVEL AND CRASH SUMMARY ,TOTAL_CRASH_RATE,,"All crash (fatal, injury and property damage only) combined rate for the published year (2023). A crash rate is the number of crashes that occur at a given time period divided by travel data per million vehicle miles (MVM) of travel for the same period. ",FLOAT,3,UNREPRESENTED,NA,NA,NA,NA,Transportation System Network (TSN),,2,,,,
STATEWIDE TRAVEL AND CRASH SUMMARY ,FATAL_PLUS_INJURY_CRASH_RATE,,Fatal and injury crash combined rate for the published year (2023). A crash rate is the number of crashes that occur at a given time period divided by travel data per million vehicle miles (MVM) of travel for the same period. ,FLOAT,3,UNREPRESENTED,NA,NA,NA,NA,Transportation System Network (TSN),,,,,,
STATEWIDE TRAVEL AND CRASH SUMMARY ,FATALITY_RATE,,Fatality rates for SHS lane types for the published year (2023). A fatality rate is the number of fatalities that occur at a given time period divided by travel data per 100 million vehicle miles (100 MVM) of travel for the same period. ,FLOAT,3,UNREPRESENTED,NA,NA,NA,NA,Transportation System Network (TSN),,2,,,,
STATEWIDE TRAVEL AND CRASH SUMMARY ,AREA_TYPE,,"Indicates whether the highway characterized by lane type is in the rural or urban area, and inside or outsite the city boundary. The rural and urban area limits are based on population density as determined by US Census Bureau. While the urban/rural area dataset is maintained by US Census Bureau, the California city boundary layer is updated and managed by California State Board of Equalization. ",TEXT,255,ENUMERATED,NA,NA,NA,NA,Transportation System Network (TSN),,,,,,
TRAVEL AND CRASH SUMMARY BY DISTRICT,DIST,,"The Caltrans District or District number for which State Highways transverse through.
",TEXT,255,ENUMERATED,NA,NA,NA,NA,Transportation System Network (TSN),,,,1,12,
TRAVEL AND CRASH SUMMARY BY DISTRICT,ROAD_MILES,,Total centerline miles of State Highways reported by each of the 12 Caltrans districts for the published year (2023). Centerline miles represent the total length of a given road from a start point to an end point. ,FLOAT,6,UNREPRESENTED,NA,NA,NA,NA,Transportation System Network (TSN),,1,,,,
TRAVEL AND CRASH SUMMARY BY DISTRICT,TRAVEL_MVM,,Total number of vehicle miles that motorists travel on the SHS by each Caltrans district. The travel data is expressed in million vehicle miles (MVM) of travel and reported for the published year (2023). ,FLOAT,7,UNREPRESENTED,NA,NA,NA,NA,Transportation System Network (TSN),,1,,,,
TRAVEL AND CRASH SUMMARY BY DISTRICT,TOTAL_CRASHES,,"Total number of crashes (fatal crashes, injury crashes, and property damage only crashes) occurred on the SHS by each Caltrans district for the published year (2023). ",SHORT,,UNREPRESENTED,NA,NA,NA,NA,Transportation System Network (TSN),,,,,,
TRAVEL AND CRASH SUMMARY BY DISTRICT,PDO_CRASHES,,Total number of property damage only (PDO) crashes occurred on the SHS by each Caltrans district for the published year (2023). ,SHORT,,UNREPRESENTED,NA,NA,NA,NA,Transportation System Network (TSN),,,,,,
TRAVEL AND CRASH SUMMARY BY DISTRICT,INJURY_CRASHES,,Total number of injury related crashes occurred on the SHS by each Caltrans district for the published year (2023). ,SHORT,,UNREPRESENTED,NA,NA,NA,NA,Transportation System Network (TSN),,,,,,
TRAVEL AND CRASH SUMMARY BY DISTRICT,FATAL_CRASHES,,Total number of fatal crashes occurred on the SHS by Caltrans district for the published year (2023). ,SHORT,,UNREPRESENTED,NA,NA,NA,NA,Transportation System Network (TSN),,,,,,
TRAVEL AND CRASH SUMMARY BY DISTRICT,VICTIM_KILLED,,Total number of fatalities associated with crashes occurred on the SHS by each Caltrans district for the published year (2023). ,SHORT,,UNREPRESENTED,NA,NA,NA,NA,Transportation System Network (TSN),,,,,,
TRAVEL AND CRASH SUMMARY BY DISTRICT,VICTIM_INJURED,,Total number of injuries associated with crashes ocurred on the SHS by each Caltrans district for the published year (2023). ,SHORT,,UNREPRESENTED,NA,NA,NA,NA,Transportation System Network (TSN),,,,,,
TRAVEL AND CRASH SUMMARY BY DISTRICT,TOTAL_CRASH_RATE,,"All crash (fatal, injury and property damage only) combined rate for the published year (2023) by each Caltrans district. A crash rate is the number of crashes that occur at a given time period divided by travel data per million vehicle miles (MVM) of travel for the same period. ",FLOAT,3,UNREPRESENTED,NA,NA,NA,NA,Transportation System Network (TSN),,2,,,,
TRAVEL AND CRASH SUMMARY BY DISTRICT,FATAL_PLUS_INJURY_CRASH_RATE,,Fatal and injury crash combined rate for the published year (2023) in each Caltrans district. A crash rate is the number of crashes that occur at a given time period divided by travel data per million vehicle miles (MVM) of travel for the same period. ,FLOAT,3,UNREPRESENTED,NA,NA,NA,NA,Transportation System Network (TSN),,2,,,,
TRAVEL AND CRASH SUMMARY BY DISTRICT,FATALITY_RATE,,Fatality rates for the published year (2023) by each Caltrans district. A fatality rate is the number of fatalities that occur at a given time period divided by travel data per 100 million vehicle miles (100 MVM) of travel for the same period. ,FLOAT,3,UNREPRESENTED,NA,NA,NA,NA,Transportation System Network (TSN),,2,,,,
TRAVEL AND CRASH SUMMARY BY DISTRICT,RURAL_URBAN,,Urban or rural area that State Highways transverse through by each district. The rural and urban area limits are based on population density as determined by US Census Bureau. The urban and rural boundary dataset is maintained by US Census Bureau. ,TEXT,255,ENUMERATED,NA,NA,NA,NA,Transportation System Network (TSN),,,,,,
TRAVEL AND CRASH SUMMARY FOR DISTRICT,DIST,,"The Caltrans District or district number for which State Highways transverse through.
",TEXT,255,ENUMERATED,NA,NA,NA,NA,Transportation System Network (TSN),,,,1,12,
TRAVEL AND CRASH SUMMARY FOR DISTRICT,LANE_TYPE,,"Listing showing different highway types based on number of lane, access control, median type.",TEXT,255,ENUMERATED,NA,NA,NA,NA,Transportation System Network (TSN),,,,,,
TRAVEL AND CRASH SUMMARY FOR DISTRICT,ROAD_MILES,,Total centerline miles of State Highways reported for each of the lane types for each Caltrans district for the published year (2023). Centerline miles represent the total length of a given road from a start point to an end point. ,FLOAT,6,UNREPRESENTED,NA,NA,NA,NA,Transportation System Network (TSN),,1,,,,
TRAVEL AND CRASH SUMMARY FOR DISTRICT,TRAVEL_MVM,,Total number of vehicle miles that motorists travel on State Highways for each district for the published year (2023). The travel data is expressed in million vehicle miles (MVM) of travel and reported for the published year (2023). ,FLOAT,7,UNREPRESENTED,NA,NA,NA,NA,Transportation System Network (TSN),,1,,,,
TRAVEL AND CRASH SUMMARY FOR DISTRICT,TOTAL_CRASHES,,"Total number of crashes (fatal crashes, injury crashes, and property damage only crashes) occurred on each SHS lane type for each Caltrans district for the published year (2023). ",SHORT,,UNREPRESENTED,NA,NA,NA,NA,Transportation System Network (TSN),,,,,,
TRAVEL AND CRASH SUMMARY FOR DISTRICT,PDO_CRASHES,,Total number of property damange only (PDO) crashes occurred on each SHS lane type for each Caltrans district for the published year (2023).,SHORT,,UNREPRESENTED,NA,NA,NA,NA,Transportation System Network (TSN),,,,,,
