System,Data Table,Data Element,Code,Meaning,List of Values Source
Crash Data On State Highway System Publication ,CALIFORNIA STATE HIGHWAYS STATEWIDE TRAVEL AND CRASH RATES,LANE TYPE,2 AND 3 LN,2 and 3 lane conventional highways,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,CALIFORNIA STATE HIGHWAYS STATEWIDE TRAVEL AND CRASH RATES,LANE TYPE,4+ UND,Undivided conventional highways with number of lanes equal or greater than 4,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,CALIFORNIA STATE HIGHWAYS STATEWIDE TRAVEL AND CRASH RATES,LANE TYPE,4+ DIV,Divided conventional highways with number of lanes equal or greater than 4,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,CALIFORNIA STATE HIGHWAYS STATEWIDE TRAVEL AND CRASH RATES,LANE TYPE,SUBTOTAL,"Sum of 2 AND 3 LN, 4+ UND and 4+ DIV",Transportation System Network (TSN)
Crash Data On State Highway System Publication ,CALIFORNIA STATE HIGHWAYS STATEWIDE TRAVEL AND CRASH RATES,LANE TYPE,2 AND 3 LN EXP,2 and 3 lane expressways ,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,CALIFORNIA STATE HIGHWAYS STATEWIDE TRAVEL AND CRASH RATES,LANE TYPE,4+ DIV EXP,Divided expressways with number of lanes equal or greater than 4,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,CALIFORNIA STATE HIGHWAYS STATEWIDE TRAVEL AND CRASH RATES,LANE TYPE,NON FWY,"Sum of Subtotal, 2 AND 3 LN EXP, and 4+ DIV EXP",Transportation System Network (TSN)
Crash Data On State Highway System Publication ,CALIFORNIA STATE HIGHWAYS STATEWIDE TRAVEL AND CRASH RATES,LANE TYPE,FREEWAY,Freeway: full access control,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,CALIFORNIA STATE HIGHWAYS STATEWIDE TRAVEL AND CRASH RATES,LANE TYPE,TOTAL,Sum of NON FWY and FREEWAY,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,CALIFORNIA STATE HIGHWAYS STATEWIDE TRAVEL AND CRASH RATES,AREA TYPE,RURAL (INSIDE + OUTSIDE CITY),The entirety of the rural area limits.,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,CALIFORNIA STATE HIGHWAYS STATEWIDE TRAVEL AND CRASH RATES,AREA TYPE,RURAL (OUTSIDE CITY),Rural areas that fall just outside of city boundaries. ,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,CALIFORNIA STATE HIGHWAYS STATEWIDE TRAVEL AND CRASH RATES,AREA TYPE,URBAN (INSIDE + OUTSIDE CITY),The entirety of the urban area limits.,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,CALIFORNIA STATE HIGHWAYS STATEWIDE TRAVEL AND CRASH RATES,AREA TYPE,URBAN (INSIDE CITY),Urban areas that lie just within city boundaries. ,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,CALIFORNIA STATE HIGHWAYS STATEWIDE TRAVEL AND CRASH RATES,AREA TYPE,SUBURBAN (RURAL INSIDE CITY + URBAN OUTSIDE CITY),Areas comprising of rural areas that lie within city boundaries and urban areas that are outside of city boundaries. ,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,CALIFORNIA STATE HIGHWAYS STATEWIDE 5-YEAR FREEWAY TREND,RURAL_URBAN,RURAL,"Indicate whether the highway at this postmile location is in the rural, urban or urbanized area. The rural, urban and urbanzied area limits are based on population density as determined by the U.S. Census Bureau. The criteria are: 
Rural: under 2,500 people
Urban: 2,500-49,999 people
Urbanized: over 50,000 people",Transportation System Network (TSN)
Crash Data On State Highway System Publication ,CALIFORNIA STATE HIGHWAYS STATEWIDE 5-YEAR FREEWAY TREND,RURAL_URBAN,URBAN,"Indicate whether the highway at this postmile location is in the rural, urban or urbanized area. The rural, urban and urbanzied area limits are based on population density as determined by the U.S. Census Bureau. The criteria are: 
Rural: under 2,500 people
Urban: 2,500-49,999 people
Urbanized: over 50,000 people",Transportation System Network (TSN)
Crash Data On State Highway System Publication ,CALIFORNIA STATE HIGHWAYS STATEWIDE 5-YEAR FREEWAY TREND,RURAL_URBAN,URBANIZED,"Indicate whether the highway at this postmile location is in the rural, urban or urbanized area. The rural, urban and urbanzied area limits are based on population density as determined by the U.S. Census Bureau. The criteria are: 
Rural: under 2,500 people
Urban: 2,500-49,999 people
Urbanized: over 50,000 people",Transportation System Network (TSN)
Crash Data On State Highway System Publication ,TRAVEL AND CRASH SUMMARY BY DISTRICT,DIST,1,Caltrans District 1,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,TRAVEL AND CRASH SUMMARY BY DISTRICT,DIST,2,Caltrans District 2,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,TRAVEL AND CRASH SUMMARY BY DISTRICT,DIST,3,Caltrans District 3,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,TRAVEL AND CRASH SUMMARY BY DISTRICT,DIST,4,Caltrans District 4,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,TRAVEL AND CRASH SUMMARY BY DISTRICT,DIST,5,Caltrans District 5,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,TRAVEL AND CRASH SUMMARY BY DISTRICT,DIST,6,Caltrans District 6,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,TRAVEL AND CRASH SUMMARY BY DISTRICT,DIST,7,Caltrans District 7,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,TRAVEL AND CRASH SUMMARY BY DISTRICT,DIST,8,Caltrans District 8,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,TRAVEL AND CRASH SUMMARY BY DISTRICT,DIST,9,Caltrans District 9,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,TRAVEL AND CRASH SUMMARY BY DISTRICT,DIST,10,Caltrans District 10,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,TRAVEL AND CRASH SUMMARY BY DISTRICT,DIST,11,Caltrans District 11,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,TRAVEL AND CRASH SUMMARY BY DISTRICT,DIST,12,Caltrans District 12,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,TRAVEL AND CRASH SUMMARY FOR COUNTY,COUNTY,ALA,Alameda,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,TRAVEL AND CRASH SUMMARY FOR COUNTY,COUNTY,ALP,Alpine,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,TRAVEL AND CRASH SUMMARY FOR COUNTY,COUNTY,AMA,Amador,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,TRAVEL AND CRASH SUMMARY FOR COUNTY,COUNTY,BUT,Butte,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,TRAVEL AND CRASH SUMMARY FOR COUNTY,COUNTY,CAL,Calaveras,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,TRAVEL AND CRASH SUMMARY FOR COUNTY,COUNTY,CC,Contra Costa,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,TRAVEL AND CRASH SUMMARY FOR COUNTY,COUNTY,COL,Colusa,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,TRAVEL AND CRASH SUMMARY FOR COUNTY,COUNTY,DN,Del Norte,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,TRAVEL AND CRASH SUMMARY FOR COUNTY,COUNTY,ED,El Dorado,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,TRAVEL AND CRASH SUMMARY FOR COUNTY,COUNTY,FRE,Fresno,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,TRAVEL AND CRASH SUMMARY FOR COUNTY,COUNTY,GLE,Glenn,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,TRAVEL AND CRASH SUMMARY FOR COUNTY,COUNTY,HUM,Humboldt,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,TRAVEL AND CRASH SUMMARY FOR COUNTY,COUNTY,IMP,Imperial,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,TRAVEL AND CRASH SUMMARY FOR COUNTY,COUNTY,INY,Inyo,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,TRAVEL AND CRASH SUMMARY FOR COUNTY,COUNTY,KER,Kern,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,TRAVEL AND CRASH SUMMARY FOR COUNTY,COUNTY,KIN,Kings,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,TRAVEL AND CRASH SUMMARY FOR COUNTY,COUNTY,LA,Los Angeles,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,TRAVEL AND CRASH SUMMARY FOR COUNTY,COUNTY,LAK,Lake,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,TRAVEL AND CRASH SUMMARY FOR COUNTY,COUNTY,LAS,Lassen,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,TRAVEL AND CRASH SUMMARY FOR COUNTY,COUNTY,MAD,Madera,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,TRAVEL AND CRASH SUMMARY FOR COUNTY,COUNTY,MEN,Mendocino,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,TRAVEL AND CRASH SUMMARY FOR COUNTY,COUNTY,MER,Merced,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,TRAVEL AND CRASH SUMMARY FOR COUNTY,COUNTY,MNO,Mono,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,TRAVEL AND CRASH SUMMARY FOR COUNTY,COUNTY,MOD,Modoc,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,TRAVEL AND CRASH SUMMARY FOR COUNTY,COUNTY,MON,Monterey,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,TRAVEL AND CRASH SUMMARY FOR COUNTY,COUNTY,MPA,Mariposa,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,TRAVEL AND CRASH SUMMARY FOR COUNTY,COUNTY,MRN,Marin,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,TRAVEL AND CRASH SUMMARY FOR COUNTY,COUNTY,NAP,Napa,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,TRAVEL AND CRASH SUMMARY FOR COUNTY,COUNTY,NEV,Nevada,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,TRAVEL AND CRASH SUMMARY FOR COUNTY,COUNTY,ORA,Orange,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,TRAVEL AND CRASH SUMMARY FOR COUNTY,COUNTY,PLA,Placer,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,TRAVEL AND CRASH SUMMARY FOR COUNTY,COUNTY,PLU,Plumas,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,TRAVEL AND CRASH SUMMARY FOR COUNTY,COUNTY,RIV,Riverside,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,TRAVEL AND CRASH SUMMARY FOR COUNTY,COUNTY,SAC,Sacramento,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,TRAVEL AND CRASH SUMMARY FOR COUNTY,COUNTY,SB,Santa Barbara,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,TRAVEL AND CRASH SUMMARY FOR COUNTY,COUNTY,SBD,San Bernardino,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,TRAVEL AND CRASH SUMMARY FOR COUNTY,COUNTY,SBT,San Benito,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,TRAVEL AND CRASH SUMMARY FOR COUNTY,COUNTY,SCL,Santa Clara,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,TRAVEL AND CRASH SUMMARY FOR COUNTY,COUNTY,SCR,Santa Cruz,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,TRAVEL AND CRASH SUMMARY FOR COUNTY,COUNTY,SD,San Diego,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,TRAVEL AND CRASH SUMMARY FOR COUNTY,COUNTY,SF,San Francisco,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,TRAVEL AND CRASH SUMMARY FOR COUNTY,COUNTY,SHA,Shasta,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,TRAVEL AND CRASH SUMMARY FOR COUNTY,COUNTY,SIE,Sierra,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,TRAVEL AND CRASH SUMMARY FOR COUNTY,COUNTY,SIS,Siskiyou,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,TRAVEL AND CRASH SUMMARY FOR COUNTY,COUNTY,SJ,San Joaquin,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,TRAVEL AND CRASH SUMMARY FOR COUNTY,COUNTY,SLO,San Luis Obispo,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,TRAVEL AND CRASH SUMMARY FOR COUNTY,COUNTY,SM,San Mateo,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,TRAVEL AND CRASH SUMMARY FOR COUNTY,COUNTY,SOL,Solano,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,TRAVEL AND CRASH SUMMARY FOR COUNTY,COUNTY,SON,Sonoma,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,TRAVEL AND CRASH SUMMARY FOR COUNTY,COUNTY,STA,Stanislaus,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,TRAVEL AND CRASH SUMMARY FOR COUNTY,COUNTY,SUT,Sutter,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,TRAVEL AND CRASH SUMMARY FOR COUNTY,COUNTY,TEH,Tehama,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,TRAVEL AND CRASH SUMMARY FOR COUNTY,COUNTY,TRI,Trinity,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,TRAVEL AND CRASH SUMMARY FOR COUNTY,COUNTY,TUL,Tulare,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,TRAVEL AND CRASH SUMMARY FOR COUNTY,COUNTY,TUO,Tuolumne,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,TRAVEL AND CRASH SUMMARY FOR COUNTY,COUNTY,VEN,Ventura,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,TRAVEL AND CRASH SUMMARY FOR COUNTY,COUNTY,YOL,Yolo,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,TRAVEL AND CRASH SUMMARY FOR COUNTY,COUNTY,YUB,Yuba,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR HIGHWAYS,RATE GROUP,H01,HIGHWAY TYPE:CONVENTIONAL 2 LANES OR LESS;TERRAIN/ADT:FLAT;DESIGN SPEED:<=55;AREA:RURAL,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR HIGHWAYS,RATE GROUP,H02,HIGHWAY TYPE:CONVENTIONAL 2 LANES OR LESS;TERRAIN/ADT:FLAT;DESIGN SPEED:>55;AREA:RURAL,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR HIGHWAYS,RATE GROUP,H03,HIGHWAY TYPE:CONVENTIONAL 2 LANES OR LESS;TERRAIN/ADT:ROLL;DESIGN SPEED:<=55;AREA:RURAL,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR HIGHWAYS,RATE GROUP,H04,HIGHWAY TYPE:CONVENTIONAL 2 LANES OR LESS;TERRAIN/ADT:ROLL;DESIGN SPEED:>55;AREA:RURAL,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR HIGHWAYS,RATE GROUP,H05,HIGHWAY TYPE:CONVENTIONAL 2 LANES OR LESS;TERRAIN/ADT:MTN;DESIGN SPEED:<=55;AREA:RURAL,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR HIGHWAYS,RATE GROUP,H06,HIGHWAY TYPE:CONVENTIONAL 2 LANES OR LESS;TERRAIN/ADT:MTN;DESIGN SPEED:>55;AREA:RURAL,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR HIGHWAYS,RATE GROUP,H07,HIGHWAY TYPE:CONVENTIONAL 2 LANES OR LESS;DESIGN SPEED:<45;AREA:SUBURBAN,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR HIGHWAYS,RATE GROUP,H08,HIGHWAY TYPE:CONVENTIONAL 2 LANES OR LESS;DESIGN SPEED:45-55;AREA:SUBURBAN,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR HIGHWAYS,RATE GROUP,H09,HIGHWAY TYPE:CONVENTIONAL 2 LANES OR LESS;DESIGN SPEED:>55;AREA:SUBURBAN,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR HIGHWAYS,RATE GROUP,H10,HIGHWAY TYPE:CONVENTIONAL 2 LANES OR LESS;DESIGN SPEED:<45;AREA:URBAN,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR HIGHWAYS,RATE GROUP,H11,HIGHWAY TYPE:CONVENTIONAL 2 LANES OR LES;DESIGN SPEED:>=45;AREA:URBAN,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR HIGHWAYS,RATE GROUP,H12,HIGHWAY TYPE:CONVENTIONAL 3 LANES;AREA:RURAL,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR HIGHWAYS,RATE GROUP,H13,HIGHWAY TYPE:CONVENTIONAL 3 LANES;AREA:SUBURBAN,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR HIGHWAYS,RATE GROUP,H14,HIGHWAY TYPE:CONVENTIONAL 3 LANES;AREA:URBAN,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR HIGHWAYS,RATE GROUP,H15,HIGHWAY TYPE:EXPRESSWAY 3 LANES OR LESS;TERRAIN/ADT:FLAT;AREA:RURAL,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR HIGHWAYS,RATE GROUP,H16,HIGHWAY TYPE:EXPRESSWAY 3 LANES OR LESS;TERRAIN/ADT:ROLL;AREA:RURAL,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR HIGHWAYS,RATE GROUP,H17,HIGHWAY TYPE:EXPRESSWAY 3 LANES OR LESS;TERRAIN/ADT:MTN;AREA:RURAL,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR HIGHWAYS,RATE GROUP,H18,HIGHWAY TYPE:EXPRESSWAY 3 LANES OR LESS;DESIGN SPEED:<=55;AREA:SUBURBAN,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR HIGHWAYS,RATE GROUP,H19,HIGHWAY TYPE:EXPRESSWAY 3 LANES OR LESS;DESIGN SPEED:>55;AREA:SUBURBAN,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR HIGHWAYS,RATE GROUP,H20,HIGHWAY TYPE:EXPRESSWAY 3 LANES OR LESS;AREA:URBAN,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR HIGHWAYS,RATE GROUP,H21,HIGHWAY TYPE:UNDIVIDED 4 LANES;TERRAIN/ADT:FLAT;AREA:RURAL,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR HIGHWAYS,RATE GROUP,H22,HIGHWAY TYPE:UNDIVIDED 4 LANES;TERRAIN/ADT:ROLL/MTN;AREA:RURAL,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR HIGHWAYS,RATE GROUP,H23,HIGHWAY TYPE:UNDIVIDED 4 LANES;DESIGN SPEED:<=55;AREA:SUBURBAN,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR HIGHWAYS,RATE GROUP,H24,HIGHWAY TYPE:UNDIVIDED 4 LANES;DESIGN SPEED:>55;AREA:SUBURBAN,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR HIGHWAYS,RATE GROUP,H25,HIGHWAY TYPE:UNDIVIDED 4 LANES;DESIGN SPEED:<45;AREA:URBAN,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR HIGHWAYS,RATE GROUP,H26,HIGHWAY TYPE:UNDIVIDED 4 LANES;DESIGN SPEED:>=45;AREA:URBAN,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR HIGHWAYS,RATE GROUP,H27,HIGHWAY TYPE:UNDIVIDED 5-6 LANES;TERRAIN/ADT:FLAT;AREA:RURAL,Transportation System Network (TSN)
