System,Data Table,Data Element,Code,Meaning,List of Values Source
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR INTERSECTIONS,CONTROL TYPE,STOP & YIELD SIGNS (EXC 4WAY),,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR INTERSECTIONS,CONTROL TYPE,4 WAY STOP,,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR INTERSECTIONS,CONTROL TYPE,SIGNALS,,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR INTERSECTIONS,CONTROL TYPE,4 WAY FLASHERS,,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR INTERSECTIONS,CONTROL TYPE,YIELD ON ALL APPROACHES,,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R01,RAMP TYPE:FRONTAGE ROAD;RAMP AREA:1-4;ON/OF:N/A;AREA:RURAL,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R02,RAMP TYPE:FRONTAGE ROAD;RAMP AREA:1-4;ON/OF:N/A;AREA:URBAN,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R03,RAMP TYPE:COLLECTOR ROAD;RAMP AREA:1-4;ON/OF:N/A;AREA:RURAL,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R04,RAMP TYPE:COLLECTOR ROAD;RAMP AREA:1-4;ON/OF:N/A;AREA:URBAN,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R05,"RAMP TYPE:DIRECT, SEMI-DIR CONN (LT TRN TRAF);RAMP AREA:1-4;ON/OF:OFF;AREA:RURAL",Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R06,"RAMP TYPE:DIRECT, SEMI-DIR CONN (LT TRN TRAF);RAMP AREA:1-4;ON/OF:OFF;AREA:URBAN",Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R07,"RAMP TYPE:DIRECT, SEMI-DIR CONN (LT TRN TRAF);RAMP AREA:1-4;ON/OF:ON;AREA:RURAL",Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R08,"RAMP TYPE:DIRECT, SEMI-DIR CONN (LT TRN TRAF);RAMP AREA:1-4;ON/OF:ON;AREA:URBAN",Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R09,RAMP TYPE:DIAMOND;RAMP AREA:1-4;ON/OF:OFF;AREA:RURAL,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R10,RAMP TYPE:DIAMOND;RAMP AREA:1-4;ON/OF:OFF;AREA:URBAN,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R11,RAMP TYPE:DIAMOND;RAMP AREA:1-4;ON/OF:ON;AREA:RURAL,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R12,RAMP TYPE:DIAMOND;RAMP AREA:1-4;ON/OF:ON;AREA:URBAN,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R13,RAMP TYPE:SLIP;RAMP AREA:1-4;ON/OF:OFF;AREA:RURAL,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R14,RAMP TYPE:SLIP;RAMP AREA:1-4;ON/OF:OFF;AREA:URBAN,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R15,RAMP TYPE:SLIP;RAMP AREA:1-4;ON/OF:ON;AREA:RURAL,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R16,RAMP TYPE:SLIP;RAMP AREA:1-4;ON/OF:ON;AREA:URBAN,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R17,"RAMP TYPE:DIRECT, SEMI-DIR CONN (RT TRN TRAF);RAMP AREA:1-4;ON/OF:OFF;AREA:RURAL",Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R18,"RAMP TYPE:DIRECT, SEMI-DIR CONN (RT TRN TRAF);RAMP AREA:1-4;ON/OF:OFF;AREA:URBAN",Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R19,"RAMP TYPE:DIRECT, SEMI-DIR CONN (RT TRN TRAF);RAMP AREA:1-4;ON/OF:ON;AREA:RURAL",Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R20,"RAMP TYPE:DIRECT, SEMI-DIR CONN (RT TRN TRAF);RAMP AREA:1-4;ON/OF:ON;AREA:URBAN",Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R21,RAMP TYPE:LOOP WITH LEFT TURN;RAMP AREA:1-4;ON/OF:OFF;AREA:RURAL,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R22,RAMP TYPE:LOOP WITH LEFT TURN;RAMP AREA:1-4;ON/OF:OFF;AREA:URBAN,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R23,RAMP TYPE:LOOP WITH LEFT TURN;RAMP AREA:1-4;ON/OF:ON;AREA:RURAL,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R24,RAMP TYPE:LOOP WITH LEFT TURN;RAMP AREA:1-4;ON/OF:ON;AREA:URBAN,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R25,RAMP TYPE:BUTTONHOOK;RAMP AREA:1-4;ON/OF:OFF;AREA:RURAL,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R26,RAMP TYPE:BUTTONHOOK;RAMP AREA:1-4;ON/OF:OFF;AREA:URBAN,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R27,RAMP TYPE:BUTTONHOOK;RAMP AREA:1-4;ON/OF:ON;AREA:RURAL,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R28,RAMP TYPE:BUTTONHOOK;RAMP AREA:1-4;ON/OF:ON;AREA:URBAN,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R29,RAMP TYPE:SCISSORS;RAMP AREA:1-4;ON/OF:OFF;AREA:RURAL,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R30,RAMP TYPE:SCISSORS;RAMP AREA:1-4;ON/OF:OFF;AREA:URBAN,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R31,RAMP TYPE:SCISSORS;RAMP AREA:1-4;ON/OF:ON;AREA:RURAL,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R32,RAMP TYPE:SCISSORS;RAMP AREA:1-4;ON/OF:ON;AREA:URBAN,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R33,RAMP TYPE:SPLIT;RAMP AREA:1-4;ON/OF:OFF;AREA:RURAL,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R34,RAMP TYPE:SPLIT;RAMP AREA:1-4;ON/OF:OFF;AREA:URBAN,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R35,RAMP TYPE:SPLIT;RAMP AREA:1-4;ON/OF:ON;AREA:RURAL,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R36,RAMP TYPE:SPLIT;RAMP AREA:1-4;ON/OF:ON;AREA:URBAN,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R37,RAMP TYPE:LOOP WITHOUT LEFT TURN;RAMP AREA:1-4;ON/OF:OFF;AREA:RURAL,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R38,RAMP TYPE:LOOP WITHOUT LEFT TURN;RAMP AREA:1-4;ON/OF:OFF;AREA:URBAN,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R39,RAMP TYPE:LOOP WITHOUT LEFT TURN;RAMP AREA:1-4;ON/OF:ON;AREA:RURAL,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R40,RAMP TYPE:LOOP WITHOUT LEFT TURN;RAMP AREA:1-4;ON/OF:ON;AREA:URBAN,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R41,RAMP TYPE:TWO-WAY RAMP SEGMENT;RAMP AREA:1-4;ON/OF:N/A;AREA:RURAL,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R42,RAMP TYPE:TWO-WAY RAMP SEGMENT;RAMP AREA:1-4;ON/OF:N/A;AREA:URBAN,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R43,"RAMP TYPE:REST AREA, VISTA PT, TRK SCALE;RAMP AREA:1-4;ON/OF:OFF;AREA:RURAL",Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R44,"RAMP TYPE:REST AREA, VISTA PT, TRK SCALE;RAMP AREA:1-4;ON/OF:OFF;AREA:URBAN",Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R45,"RAMP TYPE:REST AREA, VISTA PT, TRK SCALE;RAMP AREA:1-4;ON/OF:ON;AREA:RURAL",Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R46,"RAMP TYPE:REST AREA, VISTA PT, TRK SCALE;RAMP AREA:1-4;ON/OF:ON;AREA:URBAN",Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R47,RAMP TYPE:OTHER;RAMP AREA:1-4;ON/OF:OFF;AREA:RURAL,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R48,RAMP TYPE:OTHER;RAMP AREA:1-4;ON/OF:OFF;AREA:URBAN,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R49,RAMP TYPE:OTHER;RAMP AREA:1-4;ON/OF:ON;AREA:RURAL,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R50,RAMP TYPE:OTHER;RAMP AREA:1-4;ON/OF:ON;AREA:URBAN,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R51,RAMP TYPE:OTHER;RAMP AREA:1-4;ON/OF:N/A;AREA:RURAL,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R52,RAMP TYPE:OTHER;RAMP AREA:1-4;ON/OF:N/A;AREA:URBAN,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R53,RAMP TYPE:DIAMOND;RAMP AREA:1-3;ON/OF:OFF;AREA:RURAL,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R54,RAMP TYPE:DIAMOND;RAMP AREA:1-3;ON/OF:OFF;AREA:URBAN,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R55,RAMP TYPE:DIAMOND;RAMP AREA:1-3;ON/OF:ON;AREA:RURAL,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R56,RAMP TYPE:DIAMOND;RAMP AREA:1-3;ON/OF:ON;AREA:URBAN,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R57,RAMP TYPE:SLIP;RAMP AREA:1-3;ON/OF:OFF;AREA:RURAL,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R58,RAMP TYPE:SLIP;RAMP AREA:1-3;ON/OF:OFF;AREA:URBAN,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R59,RAMP TYPE:SLIP;RAMP AREA:1-3;ON/OF:ON;AREA:RURAL,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R60,RAMP TYPE:SLIP;RAMP AREA:1-3;ON/OF:ON;AREA:URBAN,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R61,"RAMP TYPE:DIRECT, SEMI-DIR CONN (RT TRN TRAF);RAMP AREA:1-3;ON/OF:OFF;AREA:RURAL",Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R62,"RAMP TYPE:DIRECT, SEMI-DIR CONN (RT TRN TRAF);RAMP AREA:1-3;ON/OF:OFF;AREA:URBAN",Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R63,"RAMP TYPE:DIRECT, SEMI-DIR CONN (RT TRN TRAF);RAMP AREA:1-3;ON/OF:ON;AREA:RURAL",Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R64,"RAMP TYPE:DIRECT, SEMI-DIR CONN (RT TRN TRAF);RAMP AREA:1-3;ON/OF:ON;AREA:URBAN",Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R65,RAMP TYPE:LOOP WITH LEFT TURN;RAMP AREA:1-3;ON/OF:OFF;AREA:RURAL,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R66,RAMP TYPE:LOOP WITH LEFT TURN;RAMP AREA:1-3;ON/OF:OFF;AREA:URBAN,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R67,RAMP TYPE:LOOP WITH LEFT TURN;RAMP AREA:1-3;ON/OF:ON;AREA:RURAL,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R68,RAMP TYPE:LOOP WITH LEFT TURN;RAMP AREA:1-3;ON/OF:ON;AREA:URBAN,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R69,RAMP TYPE:LOOP WITHOUT LEFT TURN;RAMP AREA:1-3;ON/OF:OFF;AREA:RURAL,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R70,RAMP TYPE:LOOP WITHOUT LEFT TURN;RAMP AREA:1-3;ON/OF:OFF;AREA:URBAN,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R71,RAMP TYPE:LOOP WITHOUT LEFT TURN;RAMP AREA:1-3;ON/OF:ON;AREA:RURAL,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R72,RAMP TYPE:LOOP WITHOUT LEFT TURN;RAMP AREA:1-3;ON/OF:ON;AREA:URBAN,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R73,RAMP TYPE:TWO-WAY RAMP SEGMENT;RAMP AREA:1-3;ON/OF:N/A;AREA:RURAL,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R74,RAMP TYPE:TWO-WAY RAMP SEGMENT;RAMP AREA:1-3;ON/OF:N/A;AREA:URBAN,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R75,RAMP TYPE:OTHER;RAMP AREA:1-3;ON/OF:OFF;AREA:RURAL,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R76,RAMP TYPE:OTHER;RAMP AREA:1-3;ON/OF:OFF;AREA:URBAN,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R77,RAMP TYPE:OTHER;RAMP AREA:1-3;ON/OF:ON;AREA:RURAL,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R78,RAMP TYPE:OTHER;RAMP AREA:1-3;ON/OF:ON;AREA:URBAN,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R79,RAMP TYPE:OTHER;RAMP AREA:1-3;ON/OF:N/A;AREA:RURAL,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RATE GROUP,R80,RAMP TYPE:OTHER;RAMP AREA:1-3;ON/OF:N/A;AREA:URBAN,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RAMP TYPE,FRONTAGE ROAD,,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RAMP TYPE,COLLECTOR ROAD,,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RAMP TYPE,"DIRECT, SEMI-DIR CONN (LT TRN TRAF)",,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RAMP TYPE,DIAMOND,,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RAMP TYPE,SLIP,,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RAMP TYPE,LOOP WITH LEFT TURN,,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RAMP TYPE,BUTTONHOOK,,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RAMP TYPE,SCISSORS,,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RAMP TYPE,LOOP WITHOUT LEFT TURN,,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RAMP TYPE,TWO-WAY RAMP SEGMENT,,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RAMP TYPE,"REST AREA, VISTA PT, TRK SCALE",,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RAMP TYPE,OTHER,,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RAMP AREAS,1,RAMP EXIT,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RAMP AREAS,2,RAMP BODY,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RAMP AREAS,3,RAMP ENTRY,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,RAMP AREAS,4,RAMP: county road or city street within 100 feet outside the outermost ramp terminal.,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,ON_OFF,ON,On-ramp,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,BASIC AVERAGE CRASH RATE TABLE FOR RAMP,ON_OFF,OFF,Off-ramp,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,PEDESTRIAN FATALITY AND INJURY DATA BY COUNTY,HIGHWAY TYPE,Conventional,Conventional: no access control,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,PEDESTRIAN FATALITY AND INJURY DATA BY COUNTY,HIGHWAY TYPE,Expressway,Expressway: partical access control,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,PEDESTRIAN FATALITY AND INJURY DATA BY COUNTY,HIGHWAY TYPE,Freeway,Freeway: full access control,Transportation System Network (TSN)
Crash Data On State Highway System Publication ,PEDESTRIAN FATALITY AND INJURY DATA BY COUNTY,HIGHWAY TYPE,One-Way City Street,One-Way City Street: no access control,Transportation System Network (TSN)
